Contact_FirstName,Contact_LastName,Contact_EntityName,Contact_EntityPhone,Contact_EntityAddress,Customer_FirstName,Customer_LastName,Customer_Gender,Customer_DateOfBirth,Customer_Address,Customer_PostalCode,Customer_CountryOfCitizenship,Customer_IDType,Customer_IDNumber,Customer_IssuingCountry,Customer_IssueDate,Customer_ExpiryDate,Trans_Withdrawl_Deposit,Trans_Type,Contact_ReferralDate,Trans_TransactionDate,Trans_Time,Trans_OriginatingCountry,Trans_DestinationCountry,Trans_Amount,Trans_IdentificationOfSuspiciousIndicator,Trans_Notes,SMR_ReviewOutcome,Att_XLS,Att_TIF,Att_PDF,Att_WMV,Att_JPG,Att_MPG,Att_MP4,Att_FLV,Att_GIF
Yehudit,Keitley,Westpac Bank,(441) 8976870,11 Briar Crest Hill,Rosco,Scryne,Male,6/30/1978,160 Annamark Crossing,,Malaysia,Other ID,57-005-8776,Indonesia,3/02/2016,10/24/2014,Withdrawl,,4/24/2016,2/14/2017,12:21 AM,Thailand,Vietnam,404573,Consumer makes inquiries that would indicate a desire to avoid reporting. ,  Outgoing international funds transfers to pay out a mortgage ,NFA,4,0,0,0,0,,1,0,0
Richart,,Westpac Bank,(265) 6580861,55860 Burrows Terrace,Willis,,Male,5/11/1960,82 Moose Road,96200-000,,Other ID,69-513-0967,,6/01/2015,1/03/2015,Withdrawl,Domestic In,7/18/2017,5/30/2016,9:10 PM,Vietnam,Vietnam,163433,Consumer deposits musty or extremely dirty bills.,  Refusal to show identification when undertaking cash buy-ins of gaming chips ,NFA,0,0,0,5,0,0,0,0,5
Ruthi,MacAnespie,National Australia Bank,(171) 4960064,7 3rd Circle,Greta,Cowlam,Female,6/30/1978,43874 Michigan Drive,,Malaysia,Other ID,87-192-3958,Vietnam,9/19/2016,6/12/2019,Withdrawl,Domestic Out,10/27/2016,12/19/2017,4:20 AM,Malaysia,Malaysia,953732,Consumer attempts to convince employee not to complete any documentation required for the transaction,  Significant cash withdrawals over a short period of time ,NFA,0,0,0,,0,0,0,0,0
Jayme,Bolden,Westpac Bank,(923) 4543023,58066 Northwestern Terrace,Frannie,Waleran,Female,6/16/1992,1318 Arkansas Hill,,Indonesia,Passport,99-141-3072,Singapore,12/08/2017,8/03/2021,Withdrawl,International Out,11/05/2016,10/14/2016,8:53 PM,Philippines,Malaysia,728776,Consumer makes inquiries that would indicate a desire to avoid reporting. ,  Third-party transfers to and from accounts for no apparent logical reason ,NFA,0,0,0,3,0,0,0,4,0
Jenda,McKew,National Australia Bank,(154) 9603936,284 Muir Trail,Herta,Blaby,Female,2/03/1994,71801 American Ash Road,,Singapore,Other ID,86-951-1392,Thailand,11/28/2014,10/09/2019,Withdrawl,International Out,1/10/2018,11/10/2017,6:32 AM,Singapore,Vietnam,913631,Consumer makes inquiries that would indicate a desire to avoid reporting. ,  Use of debit cards to purchase high-value goods,NFA,0,0,0,1,3,0,,,
Tuck,Stronack,National Australia Bank,(344) 4946403,67051 Parkside Point,Nathanial,Attenbrow,Male,8/18/1995,11 Green Ridge Lane,,Indonesia,Other ID,09-207-0769,Cambodia,9/11/2016,11/12/2013,Withdrawl,,1/31/2018,7/24/2017,5:20 PM,Malaysia,Indonesia,281934,Consumer is involved in activity out-of-keeping for that individual or business. ,  Multiple domestic transfers to third-party accounts ,NFA,0,0,0,,,0,0,2,3
Hallsy,McGrorty,Australia and New Zealand,(498) 5223545,78 Knutson Terrace,Gherardo,Jahnel,Male,7/15/1985,96157 Mayfield Parkway,98124,Malaysia,Drivers License,96-910-2947,Australia,5/12/2014,7/15/2017,Withdrawl,International In,6/05/2017,9/14/2016,2:34 PM,Thailand,Malaysia,207229,Consumer attempts to conduct frequent cash transactions in large amounts when this has not been a normal activity for the consumer in the past. ,  Multiple international funds transfers which are inconsistent with the established customer profile ,NFA,0,0,5,0,3,0,5,0,0
Benni,Aronowitz,National Australia Bank,,,Libby,Hedworth,Female,12/01/1987,58 Union Circle,,Malaysia,Passport,90-425-5775,Malaysia,1/16/2016,9/06/2019,Deposit,,8/12/2017,9/24/2016,,Vietnam,Thailand,929518,Consumer attempts to convince employee not to complete any documentation required for the transaction,  Structured cash deposits into a bank account from third parties ,NFA,0,0,5,0,0,3,0,1,0
Nananne,Bickford,Westpac Bank,(512) 4432416,1 Morningstar Circle,Burt,Sponer,,1/22/1963,,,Australia,Passport,62-082-8662,Philippines,12/20/2016,8/05/2014,Deposit,International In,10/31/2016,3/16/2017,10:36 PM,Malaysia,Malaysia,268492,Consumer admits or makes statements about involvement in criminal activities.,  Structured financial transactions in personal and business names,NFA,0,0,5,0,0,0,0,0,0
Bradly,Glowacha,Australia and New Zealand,(574) 9230946,2842 Vahlen Junction,Pennie,Howel,Male,10/02/1974,42686 Dayton Crossing,46620,Malaysia,Passport,93-869-4929,Singapore,3/03/2017,1/13/2015,Withdrawl,Domestic Out,7/29/2016,2/12/2017,5:06 PM,Indonesia,Singapore,674665,Consumer presents confusing details about the transaction. ,  Frequent cash deposits occurring at different branches on the same day ,Referral to partner agency,2,0,0,0,0,0,4,0,0
Perl,Drysdall,Westpac Bank,(238) 6138442,805 Banding Court,Dionne,Coste,Female,1/10/1976,7745 Prairieview Pass,,Thailand,Other ID,07-988-3867,Indonesia,10/02/2017,6/22/2021,Withdrawl,International In,1/03/2018,5/11/2016,3:48 AM,Vietnam,Indonesia,623578,"Consumer produces seemingly false identification or identification that appears to be counterfeited, altered or inaccurate. ",  International funds transfers to overseas businesses similar in total value to recently received cash deposits ,Referral to partner agency,0,0,0,0,3,0,0,4,0
Kerr,Petri,National Australia Bank,(480) 7961704,080 Main Street,Lutero,Clutheram,Male,10/31/1990,880 Eastwood Terrace,,Singapore,Passport,13-805-3583,Vietnam,6/21/2013,5/10/2018,Withdrawl,Domestic Out,10/27/2016,8/08/2017,4:14 AM,Vietnam,Philippines,829307,Consumer insists that a transaction be done quickly.,"  Structuring of cash deposits below AUD10,000 to avoid reporting obligations ",NFA,0,2,0,0,1,0,3,0,2
Casey,Ibbott,National Australia Bank,(965) 7998881,564 Upham Road,Lisbeth,Haverty,Female,12/19/1975,130 School Hill,3505-157,Indonesia,Other ID,94-189-2883,Cambodia,9/13/2013,3/07/2020,Deposit,Domestic In,12/30/2017,12/17/2016,12:46 AM,Thailand,Philippines,433880,"Consumer offers you money, gratuities or unusual favors for the provision of services that may appear unusual or suspicious.",  Sudden increase in financial activity inconsistent with individual’s transaction history ,NFA,0,0,0,3,3,0,0,0,0
Lyle,Stump,Westpac Bank,(307) 2258677,87 School Place,Jamesy,Formilli,Male,8/03/1992,8899 Thackeray Point,82007,Thailand,Passport,85-157-7725,Australia,8/22/2015,6/14/2021,Withdrawl,International Out,10/24/2016,7/13/2017,4:41 PM,Cambodia,Singapore,12137,Consumer attempts to conduct a transaction for an amount that is unusual compared to amounts of past transactions,  Third parties making regular cash deposits into a business account ,NFA,0,0,1,0,0,0,0,0,4
Nola,Gladdor,Australia and New Zealand,(218) 6241188,51562 Sunfield Park,Jourdan,Sherebrooke,Female,4/16/1963,02574 Manley Lane,,Vietnam,Passport,12-712-1721,Indonesia,4/30/2014,4/17/2015,Withdrawl,Domestic In,8/17/2017,7/04/2016,5:02 AM,Cambodia,Philippines,958023,Consumer seems very conversant with money laundering or terrorist activity financing issues. ,  Withdrawals conducted quickly after deposits,NFA,0,0,0,5,0,0,0,2,1
Kelci,Cappleman,Westpac Bank,(139) 2123834,74 Sunbrook Park,Cariotta,Merali,Female,9/10/1960,005 Pleasure Way,,Cambodia,Drivers License,38-301-6930,Australia,5/07/2017,12/27/2015,Withdrawl,,6/18/2017,7/31/2016,2:13 PM,Philippines,Singapore,636112,Consumer presents confusing details about the transaction. ,  Cash withdrawals conducted over multiple days ,Referral to partner agency,0,0,0,0,0,0,0,0,0
,Wisbey,,(939) 8324629,4832 Westport Lane,,Lemerle,Female,8/26/1964,4 Hintze Junction,,Indonesia,,,Malaysia,1/03/2018,2/23/2019,,International In,,,10:02 PM,,,8480,Consumer is quick to volunteer that funds are clean or not being laundered.,  Customer undertaking transactions that appear inconsistent with their profile and/or transaction history ,,,,,2,0,0,0,2,0
Koral,Rubinovici,Westpac Bank,(962) 9099709,8958 Miller Center,Delora,Faireclough,Female,6/25/1968,79138 Chinook Circle,1409,Philippines,Drivers License,12-332-0844,Malaysia,10/23/2016,1/18/2021,Withdrawl,International In,1/14/2017,6/03/2016,4:05 AM,Vietnam,Indonesia,639720,Consumer is quick to volunteer that funds are clean or not being laundered.,  Multiple electronic transfers from third parties ,NFA,0,0,0,0,0,0,0,1,3
Vernen,Sumpner,Australia and New Zealand,(594) 8550432,514 Mockingbird Point,Marlin,Shearwood,Male,2/14/1971,70912 Browning Street,,Malaysia,Other ID,07-298-6530,Cambodia,6/27/2017,9/29/2015,Deposit,Domestic Out,7/03/2017,12/14/2017,6:32 PM,Indonesia,Australia,628734,Consumer has unusual knowledge of the law in relation to suspicious transaction reporting. ,  Multiple international funds transfers to a country of interest to authorities ,NFA,0,0,4,0,0,0,0,0,1
,Bachshell,National Australia Bank,(261) 2168681,68774 Jenifer Pass,Alberta,Argrave,Female,9/10/1995,6 Washington Lane,,Cambodia,Drivers License,,Singapore,1/14/2014,10/14/2017,Withdrawl,International Out,5/10/2016,,8:52 PM,,,62937,"Consumer is nervous, not in keeping with the transaction. ",  Multiple low-value international value transfers ,,,0,,0,4,0,1,0,0
Murielle,Sillett,National Australia Bank,(349) 3070017,82 Redwing Terrace,Moritz,Gautrey,,7/03/1967,,,Indonesia,Other ID,46-716-4005,Singapore,6/28/2016,4/30/2021,Withdrawl,Domestic In,5/14/2016,3/25/2017,11:51 PM,Thailand,Malaysia,799789,"Consumer is nervous, not in keeping with the transaction. ",  Unusually large volume of cash deposits and withdrawals,NFA,0,0,0,0,0,0,1,0,0
Cathee,Shailer,National Australia Bank,(962) 7488288,7 Logan Park,Bryn,Parlot,Female,1/19/1971,4360 Walton Way,78304 CEDEX,Vietnam,Other ID,46-909-1932,Indonesia,7/08/2017,3/17/2017,Withdrawl,International Out,3/18/2016,7/11/2017,1:18 PM,Vietnam,Philippines,734990,Consumer seems very conversant with money laundering or terrorist activity financing issues. ,,NFA,0,0,0,0,0,0,1,0,0
Ruperto,MacTrusty,Australia and New Zealand,(910) 9618556,623 Forest Terrace,Mandel,Markova,Male,10/06/1963,5 Jana Point,86083 CEDEX 9,Malaysia,Passport,49-813-8287,Vietnam,11/05/2014,10/25/2018,Deposit,International In,11/22/2016,12/28/2017,5:28 AM,Vietnam,Cambodia,649948,Consumer presents confusing details about the transaction. ,  Customer is both the ordering and beneficiary customer for multiple outgoing international funds transfers ,NFA,0,5,0,0,0,0,0,0,0
Heindrick,Arnoud,Australia and New Zealand,(130) 1430489,9 Spaight Parkway,Barde,Rathbourne,Male,5/07/1962,751 Quincy Alley,453747,Malaysia,Drivers License,50-542-7585,Indonesia,10/24/2013,12/10/2021,Withdrawl,Domestic In,4/06/2016,11/06/2017,3:26 PM,Thailand,Australia,525820,Consumer over justifies or explains the transaction. ,  Customer receives international funds transfers described as ‘loan’ ,NFA,0,2,1,0,0,4,0,0,0
Marita,Pryde,Australia and New Zealand,(588) 5034240,36 Vera Road,Kordula,Bleasby,Female,6/12/1992,8974 Cardinal Terrace,,Philippines,Passport,97-080-2908,Cambodia,12/05/2014,11/07/2015,Withdrawl,Domestic In,6/19/2016,6/12/2017,3:18 PM,Thailand,Singapore,232702,Consumer attempts to develop close rapport with staff. ,  Customer undertaking complicated transfers without a business rationale ,NFA,0,0,0,0,0,0,0,0,3
Sigrid,Lenoir,Westpac Bank,(255) 3952768,0436 Starling Parkway,Gus,Edgcombe,Female,3/26/1982,52 John Wall Way,686029,Indonesia,Passport,47-781-9063,Australia,7/29/2014,9/07/2020,Withdrawl,International Out,10/07/2016,5/22/2016,12:41 AM,Cambodia,Philippines,413256,Consumer makes inquiries that would indicate a desire to avoid reporting. ,  High-value international funds transfers from Australia with no apparent logical reason ,NFA,0,0,0,0,0,0,0,0,0
Shermie,Dellow,Australia and New Zealand,(979) 3646732,96784 Menomonie Junction,Mathew,Peirpoint,Male,2/20/1974,1615 Hovde Crossing,,Malaysia,Drivers License,89-973-0202,Singapore,6/17/2017,11/28/2019,Deposit,Domestic Out,12/16/2017,4/25/2016,6:10 PM,Malaysia,Indonesia,725218,Inconsistencies appear in the consumer’s presentation of the transaction. ,  Use of an accountant to facilitate unusually complicated transactions ,NFA,0,2,5,0,0,5,0,0,0
Burg,Mendenhall,Australia and New Zealand,(221) 4408585,388 Almo Street,Duffy,Dan,Male,1/20/1994,945 Pierstorff Avenue,456 42,Thailand,Other ID,49-768-6932,Malaysia,1/27/2016,5/25/2015,Withdrawl,Domestic In,10/23/2017,8/05/2016,9:16 PM,Malaysia,Indonesia,125270,"Consumer produces seemingly false identification or identification that appears to be counterfeited, altered or inaccurate. ",Use of tax secrecy jurisdictions,NFA,0,0,0,0,0,0,0,0,0
,Rentoll,Westpac Bank,(156) 2951627,78420 Fieldstone Crossing,Francene,Dicker,Female,6/21/1978,44322 Bashford Plaza,,Cambodia,Passport,,Indonesia,6/06/2016,4/13/2016,Withdrawl,,10/22/2016,,1:28 PM,,,497158,Inconsistencies appear in the consumer’s presentation of the transaction. ,"I had Citibank account for 3 years for international transactions and minor savings. I had nothing but trouble. It's all good on the paper - no fees ever. Well... Citibank sticks its nose where it doesn't belong. It blocks your transactions (for weeks!) if they deem the transactions suspicious. I had numerous calls from Citibank (in very poor English too - Hello Mumbai!) asking for the purpose of my transactions. As a result, I couldn't pay for my international purchases and buy Christmas gifts for friends overseas in many more than one occasion.",,,0,,0,,0,0,3,0
